Sentence,SymptomCriticality,Drug,,Accurate,Notes
"after much research and talking to doctors, the conclusion is that chemo and tamoxifen seem to have precipitated other chronic illnesses, chronic fatigue, fibromyalgia, osteoarthirtis, osteopenia, clinical depression, gastroenteritis, worsened ibs and ptsd.",Symptoms are bad: Presence of negative verb + symptoms,tamoxifen,,TRUE,
"my legs, lower back & fingers are usually swollen and usually in pain.",Symptoms are bad: Presence of negative verb + symptoms,tamoxifen,,TRUE,
"i wanted  off the tamoxifen, due to the weakness in my legs & fatigue.",Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
"so far, the main complaint i have is fatigue.",Symptoms are bad: Presence of negative verb + symptoms,tamoxifen,,TRUE,
"some joint pain, vaginal discharge (clear mostly) and the best thing about tommy is that it has calms me down.",Symptoms are ok: Presence of positive verb + symptoms,tamoxifen,,TRUE,
i experience hot flashes.,Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
i have joint pain which make it hard to walk.,Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
the joint pain was unbearable so my oncologist decided to take me off it for 6 months.,Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
after 6 months of that he put me back up to the full dose and the pain didn't return!,Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
my periods are here and there but are quite heavy and painful when i do get them.,Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
my joint pain makes it difficult to walk.,Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
"seem to get lethargic, tired around 3-5pm, but take my medication just before bed, 10-11pm.",Symptoms are bad: Presence of negative verb + symptoms,tamoxifen,,NA,
when i started the medicine i was a pescitarian( only at fish or seafood)  i have maybe two hot flashes at night.,Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
mood swings and bone pain are my 2 main issues.,Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
"so far i am very fatigued, have headaches and some physical aches and pains.",Symptoms are bad: Presence of negative verb + symptoms,tamoxifen,,TRUE,
"i have much less anxiety about having a cancer re-occurrence.""",Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
"""bones hurt a lot, hot flashes were really bad.""",Symptoms are bad: Presence of negative verb + symptoms,tamoxifen,,TRUE,
"i have had hot flashes, no period (that stopped after my second chemo in april 2013), sex drive has disappeared (also from chemo & tamoxifen combined) and i have had pelvic pain (tend to be more apparent when i lay on my back), joint pain(in my elbow and where legs join pelvic) and lower back pain.",Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
"reading a lot of these comments has made me now realize that all the pains & aches i have been having, truly are side effects from the tamoxifen.",Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
"there were a lot of side effects after stopping estrogen, dry skin, loss of libido, edgy feeling.",Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
i had hot flashes but did not feel them.,Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
"i had hot flashes in the beginning, but finally went away.""",Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
"it made me very tired (loss of vitality) but it is much better now; had constipation but increased my fiber, water and exercise - all is well as long as i do this; joint pain in my hips but is better with the exercise, nausea - i had a little when i started, it got better and now it is back and worse - i have started taking pepto-bismol and it has helped - you can try mint (candy, gum); anxiety - happens occasionally but so far tolerable.",Symptoms are ok: Presence of positive verb + symptoms,tamoxifen,,TRUE,
"hot flashes, severe sweating, insomnia, severe constipation, no menstrual periods, it has stopped it completely, bone pain, light headness, unsteadiness, nausea....i fear what i am going to experience next.",Symptoms are bad: Presence of negative verb + symptoms,tamoxifen,,TRUE,
i have shrunk inside a bit so now sex is painful.,Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
"""i have been on tamoxifen for 10months now..i have had hot flashes, night sweats, mood swings, heavy menstrual bleeding, discharge, headaches and now back pain.",Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
"""naproxen helped to lessen the pain of herniated discs, but i experienced shortness of breath and was only able to get through 10 mins of cardio class.",Symptoms are possibly bad: symptoms mentioned but no verb found,naproxen,,,
"""this should be the first thing you take when you realize you have back pain.",Symptoms are possibly bad: symptoms mentioned but no verb found,naproxen,,,
"i have noticed that for extended use (2-5 days) the pain symptoms slowly come back, but at least this is something i can buy otc.""",Symptoms are possibly bad: symptoms mentioned but no verb found,naproxen,,,
"""i was suffering from the common cold and had symptoms of dry cough, congested sinus, large headache, slight ear pain, sore throat, and muscle pain in my knees and gleutus maximus.",Symptoms are bad: Presence of negative verb + symptoms,naproxen,,TRUE,
"also, i would wake up in the middle of sleeping, mumbling from my symptoms and pain.",Symptoms are possibly bad: symptoms mentioned but no verb found,naproxen,,,
"the headache was gone, and so was the muscle pain.",Symptoms are possibly bad: symptoms mentioned but no verb found,naproxen,,,
i started to experience pain after having to pick up heavy packs of water bottles and other heavy items.,Symptoms are bad: Presence of negative verb + symptoms,naproxen,,TRUE,
the pain was all in my lower back.,Symptoms are possibly bad: symptoms mentioned but no verb found,naproxen,,,
i would rate my pain on a scale from 1 to 10; a 7.,Symptoms are possibly bad: symptoms mentioned but no verb found,naproxen,,,
it was a sharp stabbing pulling pain in my lower back and it even hurt to take a deep breath.,Symptoms are bad: Presence of negative verb + symptoms,naproxen,,TRUE,
"""i have tendonitis in both elbows and ankles i am young and fit very active person a few months ago i could barely walk or hold a cup of water to my mouth without being in consent pain, i pushed through as much as i could but one day it got too much i went to my doctor who prescribed me 500mg naproxen and instantly the pain has gone, i am back running and at the gym doing weights.",Symptoms are possibly bad: symptoms mentioned but no verb found,naproxen,,,
"when ever i take the medication my pain reduces from like a 6 to a 4 which is awesome!!""",Symptoms are possibly bad: symptoms mentioned but no verb found,naproxen,,,
"i have lost weight and pain has been reduced.""",Symptoms are bad: Presence of negative verb + symptoms,naproxen,,FALSE,
"the pharmacist told me that at worst i would experience indigestion, and it should not be combined with other pain medication or else i'd deal with internal bleeding.",Symptoms are possibly bad: symptoms mentioned but no verb found,naproxen,,,
"what i wasn't ready for was crippling fatigue, vision impairment, nausea, urine darkening, cold sweats, and my back pain getting even worse.",Symptoms are bad: Presence of negative verb + symptoms,naproxen,,TRUE,
"""i take naproxen for jaw pain and it's really hit-or-miss.",Symptoms are possibly bad: symptoms mentioned but no verb found,naproxen,,,
"""i started taking this per my doctor instead of tylenol for lower back pain.",Symptoms are possibly bad: symptoms mentioned but no verb found,naproxen,,,
"i had stomach issues.. could not eat, vomited, severe itching on the legs and armsi """,Symptoms are bad: Presence of negative verb + symptoms,naproxen,,TRUE,
"""suffered severe period pain doctor put me on naproxen in 2 months have no pain and no period flow it's basically stopped but side effects i got itchy hives but it's great..but doctor says pain is fibroids that have to come out i wanted to stay on naproxen but she said it's only a solution not the end result....""",Symptoms are bad: Presence of negative verb + symptoms,naproxen,,TRUE,
i took the medication with food as prescribed and still this is the worst heartburn i have ever had in my life.,Symptoms are possibly bad: symptoms mentioned but no verb found,naproxen,,,
excruciating pain in lower si region of my back following an aggressive 30 mile bick ride and a few days of surfing.,Symptoms are bad: Presence of negative verb + symptoms,naproxen,,TRUE,
woke up the next morning with shooting pain in low back which progressed to shooting pains running down my glutes and referred pain to the hip flexor region.,Symptoms are possibly bad: symptoms mentioned but no verb found,naproxen,,,
for two weeks this was extremely painful and did not subside even w/ ice applications and finally chiropractic visits 5 total and lots of advil.,Symptoms are possibly bad: symptoms mentioned but no verb found,naproxen,,,
"i highly recommend for anyone with back pain as it really helped me!""",Symptoms are ok: Presence of positive verb + symptoms,naproxen,,TRUE,
after 2 doses the month long pain subsided and i had no side effects.,Symptoms are possibly bad: symptoms mentioned but no verb found,naproxen,,,
"""i've had sciatica pain for the past few days.",Symptoms are possibly bad: symptoms mentioned but no verb found,naproxen,,,
"""i have chronic pain and tendinitis in my ankles, knees, shoulders, and elbows.",Symptoms are possibly bad: symptoms mentioned but no verb found,naproxen,,,
without naproxen it usually hurts so bad i can't play at all but i take 3 of them at once and it usually takes care of most of the pain.,Symptoms are bad: Presence of negative verb + symptoms,naproxen,,FALSE,
there is still some pain left but it usually helps significantly.,Symptoms are possibly bad: symptoms mentioned but no verb found,naproxen,,,
"after couple of uses, swelling was reduced, but got severe stomach cramps.",Symptoms are bad: Presence of negative verb + symptoms,naproxen,,FALSE,
"still experiencing pain in joints, swelling and now the stomach ache.""",Symptoms are bad: Presence of negative verb + symptoms,naproxen,,TRUE,
"""was prescribed drug for achilles tenditis, 500mg naproxen twice a day with omeprazole 20 mg.  should never have taken this as caused heartburn and stomach infection, stopped taking on second day and still have not recovered from stomach problems over 2 months later despite taking other remedies.",Symptoms are possibly bad: symptoms mentioned but no verb found,naproxen,,,
"started with joint pain, chills, developed minor cataract after 1 year on medication (now advanced enough during second year to have extraction).",Symptoms are ok: Presence of positive verb + symptoms,tamoxifen,,NA,
i had 3 weeks of radiotherapy and have been in pain ever since.,Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
had such a big seroma i was crying with the pain.,Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
i feel tired and lethargic all the time.,Symptoms are bad: Presence of negative verb + symptoms,tamoxifen,,TRUE,
"no sex drive, brain fog,muscle aches, and severe constipation are the worst things because these were never a problem before tamox.",Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
"the next time i got my prescription filled, i noticed that ""hair loss"" was listed after ""stroke"" under side effects, so there.",Symptoms are possibly bad: symptoms mentioned but no verb found,tamoxifen,,,
