Sentence,Experience,Drug
"No other was as effective in inhibiting estrogen.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Here's my story:  I was diagnosed with stage 1 breast cancer (98% estrogen fed) in Alr 2015.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"So, I can honesty say, that's a big plus!","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"WEIGHT CHANGES:  I became Vegan and did not loose any weight!","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Which can be unbearable at times.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I  also have gain about 10 to 15  pounds since I have been taking this medicine.""","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"So far so good!","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Just keeping everything crossed that the cancer stays away.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Good luck to all you fellow survivors and keep fighting the fight! ""","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"""I've been on this drug for nine miserable months now.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"It's almost as if he's being paid by the tamoxifen people because he won't even listen to anything negative about the drug.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"This drug makes life not worth living.""","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"""I had Stage 1 IDC Breast Cancer, diagnosed in June 2013, mastectomies in August 2013, started tamoxifen October 2013.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"After experiencing stomach digestive issues I went off it in March 2014 until August, then back on and have been on it ever since.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"So almost 1 year straight, but another 5 months of it before that as well.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"My biggest complaint is feeling so wiped out by the end of the day.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I have also noticed a 5-10 pound weight gain.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I have found that the side effects of this drug are forcing me to live and eat cleaner to try and reduce them.""","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"""I have male breast cancer.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I do find it uncomfortable to only read about ladies issues, but understandable.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I have found that I feel depressed, and mood swings for sure.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Upset tummy is common, so try to keep hydrated.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Given the alternatives and worrying how my family would cope without me as the bread winner, makes the decision to continue to take it an easy one.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I'm 59,  and lost my brother to it aged 39.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"A few joint aches but all in all not too many problems.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Considering the alternative, I don't have too many bad things to say about it.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Glad to be cancer free!!","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Side effects are so bad that I'm having a hard time getting through life.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I think that if my Doctors were more realistic (honest) about the side effects it would be a little easier to deal with them.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Reading some of the statements here is helpful actually - I feel a little less alone.""","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I had been on Effexor for a couple of years, so when I was diagnosed and treated for breast cancer I carried on with the medication.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"I take my Tamoxifen in the morning, with my breakfast, because that seems to calm the nausea that I can get with an empty stomach.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"The best thing that I am experiencing now that I am on the Tamoxifen is the ability to cry and work through emotion.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"That ability had left me while I was just on the Effexor, I still felt sad, but didn't feel like I could cry.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Well the tears come now, and they feel cleansing and good.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I take the tamoxifen during the day I live in CA so temp- wise this is a good thing to do.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Running hot is an understatement.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Skin and hair have taken a hit as the hips have improved.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"Suspect no juice to connective tissues is the reason also arthritis has shown up in both knees.","Negative Experience - No symptoms mentioned but negative words found",tamoxifen
"Wow, it is amazing all the different side effects that Tamoxifen causes for people.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"It's nice to know I'm not alone! ""","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"When I started taking Tamoxifen I felt much better.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"My friends would tell me I must have had a hot flash because my face turned red, I highly recommend this medicine.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I felt much better on it.""","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
"I had some weight gain, but nothing I could not handle.","Positive Experience - No symptoms mentioned but positive words found",tamoxifen
