Sentence,SideEffectsStatus,Drug
the side effects kicked in after about a week.,Side effects Present - because of no direct inverter word before ,tamoxifen
"i have found that the side effects of this drug are forcing me to live and eat cleaner to try and reduce them.""",Side effects Present - because of no direct inverter word before ,tamoxifen
side effects are so bad that i'm having a hard time getting through life.,Side effects Present - because of no direct inverter word before ,tamoxifen
i think that if my doctors were more realistic (honest) about the side effects it would be a little easier to deal with them.,Side effects Present - because of no direct inverter word before ,tamoxifen
i decided that sleep was imperative in order to deal with the side effects.,Side effects Present - because of no direct inverter word before ,tamoxifen
i am hoping that some of these side effects will soon subside.,Side effects Present - because of no direct inverter word before ,tamoxifen
"wow, it is amazing all the different side effects that tamoxifen causes for people.",Side effects Present - because of no direct inverter word before ,tamoxifen
"reading a lot of these comments has made me now realize that all the pains & aches i have been having, truly are side effects from the tamoxifen.",Side effects Present - because symptoms mentioned,tamoxifen
"there were a lot of side effects after stopping estrogen, dry skin, loss of libido, edgy feeling.",Side effects Present - because symptoms mentioned,tamoxifen
the side effects are minimal.,Side effects Present - because of no direct inverter word before ,tamoxifen
"""i took tamoxifen for 5 years with very little side effects.",Side effects Present - because of no direct inverter word before ,tamoxifen
"i have noticed that for extended use (2-5 days) the pain symptoms slowly come back, but at least this is something i can buy otc.""",Side effects Present - because symptoms mentioned,naproxen
"""i was suffering from the common cold and had symptoms of dry cough, congested sinus, large headache, slight ear pain, sore throat, and muscle pain in my knees and gleutus maximus.",Side effects Present - because symptoms mentioned,naproxen
"also, i would wake up in the middle of sleeping, mumbling from my symptoms and pain.",Side effects Present - because symptoms mentioned,naproxen
"i have had no side effects.""",No Side Effects,naproxen
thankfully i haven't experienced any side effects at moment.,Possibly no side effects,naproxen
"i looked up the side effects that the pharmacist didn't mention and found then listed under the uncommon and rare side effects, which means i'm just unlucky.""",Side effects Present - because of no direct inverter word before ,naproxen
"""suffered severe period pain doctor put me on naproxen in 2 months have no pain and no period flow it's basically stopped but side effects i got itchy hives but it's great..but doctor says pain is fibroids that have to come out i wanted to stay on naproxen but she said it's only a solution not the end result....""",Side effects Present - because symptoms mentioned,naproxen
after 2 doses the month long pain subsided and i had no side effects.,No Side Effects,naproxen
during the time i took the medication i did not experience any side effects at all and my arthritis even seemed better.,Possibly no side effects,tamoxifen
"the next time i got my prescription filled, i noticed that ""hair loss"" was listed after ""stroke"" under side effects, so there.",Side effects Present - because symptoms mentioned,tamoxifen
comment:sudden onset of menopause signs and symptoms didn't sit well with my body.,Side effects Present - because of no direct inverter word before ,tamoxifen
"although my oncologist took me off of the tamoxifen immediately, august 2014, because of the bleeding - the side effects continues.it makes me wonder if the benefits of the medication outweighs the many side effects that the medication causes.",Side effects Present - because symptoms mentioned,tamoxifen
