Sentence,SymptomCriticality,Symptom,Drug
"after much research and talking to doctors, the conclusion is that chemo and tamoxifen seem to have precipitated other chronic illnesses, chronic fatigue, fibromyalgia, osteoarthirtis, osteopenia, clinical depression, gastroenteritis, worsened ibs and ptsd.",Symptoms are bad: Presence of negative verb + symptoms,fatigue,tamoxifen
"my legs, lower back & fingers are usually swollen and usually in pain.",Symptoms are bad: Presence of negative verb + symptoms,pain,tamoxifen
"i wanted  off the tamoxifen, due to the weakness in my legs & fatigue.",Symptoms are possibly bad: symptoms mentioned but no verb found,fatigue,tamoxifen
"so far, the main complaint i have is fatigue.",Symptoms are bad: Presence of negative verb + symptoms,fatigue,tamoxifen
"some joint pain, vaginal discharge (clear mostly) and the best thing about tommy is that it has calms me down.",Symptoms are ok: Presence of positive verb + symptoms,joint pain,tamoxifen
i experience hot flashes.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
i have joint pain which make it hard to walk.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,tamoxifen
the joint pain was unbearable so my oncologist decided to take me off it for 6 months.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,tamoxifen
after 6 months of that he put me back up to the full dose and the pain didn't return!,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
my periods are here and there but are quite heavy and painful when i do get them.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
my joint pain makes it difficult to walk.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,tamoxifen
"seem to get lethargic, tired around 3-5pm, but take my medication just before bed, 10-11pm.",Symptoms are bad: Presence of negative verb + symptoms,tired,tamoxifen
when i started the medicine i was a pescitarian( only at fish or seafood)  i have maybe two hot flashes at night.,Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,tamoxifen
mood swings and bone pain are my 2 main issues.,Symptoms are possibly bad: symptoms mentioned but no verb found,bone pain,tamoxifen
"so far i am very fatigued, have headaches and some physical aches and pains.",Symptoms are bad: Presence of negative verb + symptoms,fatigue,tamoxifen
"i have much less anxiety about having a cancer re-occurrence.""",Symptoms are possibly bad: symptoms mentioned but no verb found,anxiety,tamoxifen
"""bones hurt a lot, hot flashes were really bad.""",Symptoms are bad: Presence of negative verb + symptoms,hot flashes,tamoxifen
"i have had hot flashes, no period (that stopped after my second chemo in april 2013), sex drive has disappeared (also from chemo & tamoxifen combined) and i have had pelvic pain (tend to be more apparent when i lay on my back), joint pain(in my elbow and where legs join pelvic) and lower back pain.",Symptoms are possibly bad: symptoms mentioned but no verb found,back pain,tamoxifen
"reading a lot of these comments has made me now realize that all the pains & aches i have been having, truly are side effects from the tamoxifen.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,tamoxifen
