Post,Sentence,SideEffectsStatus,Drug
"""I started taking Tamoxifen in September of 2013. The side effects kicked in after about a week. My fingers completely seized up and if I crouched down I couldn't get up again! The joint pain was unbearable so my oncologist decided to take me off it for 6 months. He then introduced it gradually, 10mg a day instead of 20mg. So far so good! After 6 months of that he put me back up to the full dose and the pain didn't return! I've been on it ever since. My periods are here and there but are quite heavy and painful when I do get them. I wish they'd just stop. Just keeping everything crossed that the cancer stays away. Good luck to all you fellow survivors and keep fighting the fight! ""","the side effects kicked in after about a week.","Side effects Present - because of no direct inverter word before ",tamoxifen
"""I had Stage 1 IDC Breast Cancer, diagnosed in June 2013, mastectomies in August 2013, started tamoxifen October 2013.  After experiencing stomach digestive issues I went off it in March 2014 until August, then back on and have been on it ever since.  So almost 1 year straight, but another 5 months of it before that as well.  My biggest complaint is feeling so wiped out by the end of the day.  I take it at night when going to bed, usually 10pm-ish.  Does anyone think switching the time I take the pill will matter?  I have also noticed a 5-10 pound weight gain.  I'm very active and fit - lift weights, run, do crossfit.  I have found that the side effects of this drug are forcing me to live and eat cleaner to try and reduce them.""","i have found that the side effects of this drug are forcing me to live and eat cleaner to try and reduce them.""","Side effects Present - because of no direct inverter word before ",tamoxifen
"""I'm on my 6th year taking Tamoxifen. I was on it for 5 years, and stopped - at that time it was thought I should only take it for 5yrs. A year after being off and the new research came out that I should do it another 5 years. I've been back on now for about 6 months and I'm seriously considering stopping. Side effects are so bad that I'm having a hard time getting through life. Mood swings and bone pain are my 2 main issues. The thing is, I'm cancer free and of course want to stay that way. I think that if my Doctors were more realistic (honest) about the side effects it would be a little easier to deal with them. Reading some of the statements here is helpful actually - I feel a little less alone.""","side effects are so bad that i\'m having a hard time getting through life.","Side effects Present - because of no direct inverter word before ",tamoxifen
"""I'm on my 6th year taking Tamoxifen. I was on it for 5 years, and stopped - at that time it was thought I should only take it for 5yrs. A year after being off and the new research came out that I should do it another 5 years. I've been back on now for about 6 months and I'm seriously considering stopping. Side effects are so bad that I'm having a hard time getting through life. Mood swings and bone pain are my 2 main issues. The thing is, I'm cancer free and of course want to stay that way. I think that if my Doctors were more realistic (honest) about the side effects it would be a little easier to deal with them. Reading some of the statements here is helpful actually - I feel a little less alone.""","i think that if my doctors were more realistic (honest) about the side effects it would be a little easier to deal with them.","Side effects Present - because of no direct inverter word before ",tamoxifen
"""The wisest decision I can share is changing WHEN I take the tamoxifen.  I decided that sleep was imperative in order to deal with the side effects. I take the tamoxifen during the day I live in CA so temp- wise this is a good thing to do. Running hot is an understatement. Skin and hair have taken a hit as the hips have improved.  Suspect no juice to connective tissues is the reason also arthritis has shown up in both knees.  One perk? Evenness of mood after 2 years.  My 10 rating?  No recurrence as of 2.5 years.""","i decided that sleep was imperative in order to deal with the side effects.","Side effects Present - because of no direct inverter word before ",tamoxifen
"""I have been on Tamoxifen for four months now & have been told I will be taking it for the standard 5yrs. I have had hot flashes, no period (that stopped after my second Chemo in April 2013), sex drive has disappeared (also from Chemo & Tamoxifen combined) and I have had pelvic pain (tend to be more apparent when I lay on my back), joint pain(in my elbow and where legs join pelvic) and lower back pain. I am hoping that some of these side effects will soon subside.  Wow, it is amazing all the different side effects that Tamoxifen causes for people. Reading a lot of these comments has made me now realize that all the pains & aches I have been having, truly are side effects from the Tamoxifen. It's nice to know I'm not alone! ""","i am hoping that some of these side effects will soon subside.","Side effects Present - because of no direct inverter word before ",tamoxifen
"""I have been on Tamoxifen for four months now & have been told I will be taking it for the standard 5yrs. I have had hot flashes, no period (that stopped after my second Chemo in April 2013), sex drive has disappeared (also from Chemo & Tamoxifen combined) and I have had pelvic pain (tend to be more apparent when I lay on my back), joint pain(in my elbow and where legs join pelvic) and lower back pain. I am hoping that some of these side effects will soon subside.  Wow, it is amazing all the different side effects that Tamoxifen causes for people. Reading a lot of these comments has made me now realize that all the pains & aches I have been having, truly are side effects from the Tamoxifen. It's nice to know I'm not alone! ""","wow, it is amazing all the different side effects that tamoxifen causes for people.","Side effects Present - because of no direct inverter word before ",tamoxifen
"""I have been on Tamoxifen for four months now & have been told I will be taking it for the standard 5yrs. I have had hot flashes, no period (that stopped after my second Chemo in April 2013), sex drive has disappeared (also from Chemo & Tamoxifen combined) and I have had pelvic pain (tend to be more apparent when I lay on my back), joint pain(in my elbow and where legs join pelvic) and lower back pain. I am hoping that some of these side effects will soon subside.  Wow, it is amazing all the different side effects that Tamoxifen causes for people. Reading a lot of these comments has made me now realize that all the pains & aches I have been having, truly are side effects from the Tamoxifen. It's nice to know I'm not alone! ""","reading a lot of these comments has made me now realize that all the pains & aches i have been having, truly are side effects from the tamoxifen.","Side effects Present - because symptoms mentioned",tamoxifen
"""I was on Tamoxifen for 4 1/2 years after I had my chemo. There were a lot of side effects after stopping estrogen, dry skin, loss of libido, edgy feeling. When I started taking Tamoxifen I felt much better. I didn't feel edgy as the Tamoxifen tricked my body into feeling like it had estrogen. I had hot flashes but did not feel them. My friends would tell me I must have had a hot flash because my face turned red, I highly recommend this medicine. I felt much better on it.""","there were a lot of side effects after stopping estrogen, dry skin, loss of libido, edgy feeling.","Side effects Present - because symptoms mentioned",tamoxifen
"""I am going on 5 years taking this medication religiously.  I was diagnosed with Stage 2B ductal carcinoma, invading my chest wall and 3 lymph nodes in 2008. So far, cancer free. The side effects are minimal. My skin is drier and I do feel aged but I also had my ovaries removed after testing   for BRCA2 so I think it might be due to that also. I want to continue taking for another 5 years since I'm only 34.""","the side effects are minimal.","Side effects Present - because of no direct inverter word before ",tamoxifen
