Post,Sentence,SymptomCriticality,Symptom,Drug
"""Was for  5 yrs,  increased to 10yrs, I'm in year 7. Had 3 lumpectomies within 3 month span, had chemo, radiation, plus 1 year of Herceptin for Ductal carcinoma in situ T2 HER2+ I am alive and plan on staying that way. After much research and talking to doctors, the conclusion is that Chemo and Tamoxifen seem to have precipitated other chronic illnesses, Chronic Fatigue, Fibromyalgia, OsteoArthirtis, Osteopenia, Clinical depression, Gastroenteritis, worsened IBS and PTSD. My legs, lower back & fingers are usually swollen and usually in pain. I wanted  off the Tamoxifen, due to the weakness in my legs & Fatigue. No other was as effective in inhibiting estrogen. I still lose my hair, gained 130lbs, I'm in a wheelchair. I'm alive. 3 yrs to go""","after much research and talking to doctors, the conclusion is that chemo and tamoxifen seem to have precipitated other chronic illnesses, chronic fatigue, fibromyalgia, osteoarthirtis, osteopenia, clinical depression, gastroenteritis, worsened ibs and ptsd.","Symptoms are bad: Presence of negative verb + symptoms",fatigue,tamoxifen
"""Was for  5 yrs,  increased to 10yrs, I'm in year 7. Had 3 lumpectomies within 3 month span, had chemo, radiation, plus 1 year of Herceptin for Ductal carcinoma in situ T2 HER2+ I am alive and plan on staying that way. After much research and talking to doctors, the conclusion is that Chemo and Tamoxifen seem to have precipitated other chronic illnesses, Chronic Fatigue, Fibromyalgia, OsteoArthirtis, Osteopenia, Clinical depression, Gastroenteritis, worsened IBS and PTSD. My legs, lower back & fingers are usually swollen and usually in pain. I wanted  off the Tamoxifen, due to the weakness in my legs & Fatigue. No other was as effective in inhibiting estrogen. I still lose my hair, gained 130lbs, I'm in a wheelchair. I'm alive. 3 yrs to go""","my legs, lower back & fingers are usually swollen and usually in pain.","Symptoms are bad: Presence of negative verb + symptoms",pain,tamoxifen
"""Was for  5 yrs,  increased to 10yrs, I'm in year 7. Had 3 lumpectomies within 3 month span, had chemo, radiation, plus 1 year of Herceptin for Ductal carcinoma in situ T2 HER2+ I am alive and plan on staying that way. After much research and talking to doctors, the conclusion is that Chemo and Tamoxifen seem to have precipitated other chronic illnesses, Chronic Fatigue, Fibromyalgia, OsteoArthirtis, Osteopenia, Clinical depression, Gastroenteritis, worsened IBS and PTSD. My legs, lower back & fingers are usually swollen and usually in pain. I wanted  off the Tamoxifen, due to the weakness in my legs & Fatigue. No other was as effective in inhibiting estrogen. I still lose my hair, gained 130lbs, I'm in a wheelchair. I'm alive. 3 yrs to go""","i wanted  off the tamoxifen, due to the weakness in my legs & fatigue.","Symptoms are possibly bad: symptoms mentioned but no verb found",fatigue,tamoxifen
"""I have been on Tamoxefin for 40 days...  Here's my story:  I was diagnosed with stage 1 breast cancer (98% estrogen fed) in Alr 2015.  I did not need chemo or radiation.  I was told after surgery (June 2015) that I had to take ""Tomy"" for 5 years. I fought the idea, but eventually decided to give it a try.  So far, the main complaint I have is fatigue.  I take it at night and that's helps...  Some joint pain, vaginal discharge (clear mostly) and the BEST thing about Tommy is that it has calms me down.  I am about 30% of the energized person I was before.  I no longer get feel like I need to solve the worlds problems in a day!  So, I can honesty say, that's a big plus! ...   WEIGHT CHANGES:  I became Vegan and did not loose any weight! :((""","so far, the main complaint i have is fatigue.","Symptoms are bad: Presence of negative verb + symptoms",fatigue,tamoxifen
"""I have been on Tamoxefin for 40 days...  Here's my story:  I was diagnosed with stage 1 breast cancer (98% estrogen fed) in Alr 2015.  I did not need chemo or radiation.  I was told after surgery (June 2015) that I had to take ""Tomy"" for 5 years. I fought the idea, but eventually decided to give it a try.  So far, the main complaint I have is fatigue.  I take it at night and that's helps...  Some joint pain, vaginal discharge (clear mostly) and the BEST thing about Tommy is that it has calms me down.  I am about 30% of the energized person I was before.  I no longer get feel like I need to solve the worlds problems in a day!  So, I can honesty say, that's a big plus! ...   WEIGHT CHANGES:  I became Vegan and did not loose any weight! :((""","some joint pain, vaginal discharge (clear mostly) and the best thing about tommy is that it has calms me down.","Symptoms are ok: Presence of positive verb + symptoms","joint pain",tamoxifen
"""I have been on tamoxifen for almost a year now. I experience hot flashes. Which can be unbearable at times. I have joint pain which make it hard to walk. I  also have gain about 10 to 15  pounds since I have been taking this medicine.""","i experience hot flashes.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"""I have been on tamoxifen for almost a year now. I experience hot flashes. Which can be unbearable at times. I have joint pain which make it hard to walk. I  also have gain about 10 to 15  pounds since I have been taking this medicine.""","i have joint pain which make it hard to walk.","Symptoms are possibly bad: symptoms mentioned but no verb found","joint pain",tamoxifen
"""I started taking Tamoxifen in September of 2013. The side effects kicked in after about a week. My fingers completely seized up and if I crouched down I couldn't get up again! The joint pain was unbearable so my oncologist decided to take me off it for 6 months. He then introduced it gradually, 10mg a day instead of 20mg. So far so good! After 6 months of that he put me back up to the full dose and the pain didn't return! I've been on it ever since. My periods are here and there but are quite heavy and painful when I do get them. I wish they'd just stop. Just keeping everything crossed that the cancer stays away. Good luck to all you fellow survivors and keep fighting the fight! ""","the joint pain was unbearable so my oncologist decided to take me off it for 6 months.","Symptoms are possibly bad: symptoms mentioned but no verb found","joint pain",tamoxifen
"""I started taking Tamoxifen in September of 2013. The side effects kicked in after about a week. My fingers completely seized up and if I crouched down I couldn't get up again! The joint pain was unbearable so my oncologist decided to take me off it for 6 months. He then introduced it gradually, 10mg a day instead of 20mg. So far so good! After 6 months of that he put me back up to the full dose and the pain didn't return! I've been on it ever since. My periods are here and there but are quite heavy and painful when I do get them. I wish they'd just stop. Just keeping everything crossed that the cancer stays away. Good luck to all you fellow survivors and keep fighting the fight! ""","after 6 months of that he put me back up to the full dose and the pain didn\'t return!","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,tamoxifen
"""I started taking Tamoxifen in September of 2013. The side effects kicked in after about a week. My fingers completely seized up and if I crouched down I couldn't get up again! The joint pain was unbearable so my oncologist decided to take me off it for 6 months. He then introduced it gradually, 10mg a day instead of 20mg. So far so good! After 6 months of that he put me back up to the full dose and the pain didn't return! I've been on it ever since. My periods are here and there but are quite heavy and painful when I do get them. I wish they'd just stop. Just keeping everything crossed that the cancer stays away. Good luck to all you fellow survivors and keep fighting the fight! ""","my periods are here and there but are quite heavy and painful when i do get them.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,tamoxifen
"""I've been on this drug for nine miserable months now.  I had said I would try it for one year and I'm not sure I can make that.  It appears that quality of life is not something my doctor cares about.  It's almost as if he's being paid by the tamoxifen people because he won't even listen to anything negative about the drug.  My hot flashes are unbelievable.  My joint pain makes it difficult to walk.  I haven't slept in nearly a year.  This drug makes life not worth living.""","my joint pain makes it difficult to walk.","Symptoms are possibly bad: symptoms mentioned but no verb found","joint pain",tamoxifen
"""I have male breast cancer. I do find it uncomfortable to only read about ladies issues, but understandable. I have found that I feel depressed, and mood swings for sure. Upset tummy is common, so try to keep hydrated. Seem to get lethargic, tired around 3-5pm, but take my medication just before bed, 10-11pm. May consider changing this. Given the alternatives and worrying how my family would cope without me as the bread winner, makes the decision to continue to take it an easy one. I am not going to give in to it. I'm 59,  and lost my brother to it aged 39. Played my first 70 min game of tennis today in 14 months, and really found it made a difference. So maybe keeping fit is one way of fighting back.""","seem to get lethargic, tired around 3-5pm, but take my medication just before bed, 10-11pm.","Symptoms are bad: Presence of negative verb + symptoms",tired,tamoxifen
"""I've been on Tamoxifen for a year now.  A few joint aches but all in all not too many problems.  When I started the medicine I was a Pescitarian( only at fish or seafood)  I have maybe two hot flashes at night.  I take my pill at 5pm daily.  I too was told I need to be on it for 10 years.  Considering the alternative, I don't have too many bad things to say about it.  Glad to be cancer free!!  Hope this keeps me that way.  Turning 50 in three days!!""","when i started the medicine i was a pescitarian( only at fish or seafood)  i have maybe two hot flashes at night.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"""I'm on my 6th year taking Tamoxifen. I was on it for 5 years, and stopped - at that time it was thought I should only take it for 5yrs. A year after being off and the new research came out that I should do it another 5 years. I've been back on now for about 6 months and I'm seriously considering stopping. Side effects are so bad that I'm having a hard time getting through life. Mood swings and bone pain are my 2 main issues. The thing is, I'm cancer free and of course want to stay that way. I think that if my Doctors were more realistic (honest) about the side effects it would be a little easier to deal with them. Reading some of the statements here is helpful actually - I feel a little less alone.""","mood swings and bone pain are my 2 main issues.","Symptoms are possibly bad: symptoms mentioned but no verb found","bone pain",tamoxifen
"""I am 41. I had been on Effexor for a couple of years, so when I was diagnosed and treated for breast cancer I carried on with the medication.  I started taking Tamoxifen about a month ago.  So far I am very fatigued, have headaches and some physical aches and pains.  I take my Tamoxifen in the morning, with my breakfast, because that seems to calm the nausea that I can get with an empty stomach.  The best thing that I am experiencing now that I am on the Tamoxifen is the ability to cry and work through emotion.  That ability had left me while I was just on the Effexor, I still felt sad, but didn't feel like I could cry.  Well the tears come now, and they feel cleansing and good.  I have much less anxiety about having a cancer re-occurrence.""","so far i am very fatigued, have headaches and some physical aches and pains.","Symptoms are bad: Presence of negative verb + symptoms",fatigue,tamoxifen
"""I am 41. I had been on Effexor for a couple of years, so when I was diagnosed and treated for breast cancer I carried on with the medication.  I started taking Tamoxifen about a month ago.  So far I am very fatigued, have headaches and some physical aches and pains.  I take my Tamoxifen in the morning, with my breakfast, because that seems to calm the nausea that I can get with an empty stomach.  The best thing that I am experiencing now that I am on the Tamoxifen is the ability to cry and work through emotion.  That ability had left me while I was just on the Effexor, I still felt sad, but didn't feel like I could cry.  Well the tears come now, and they feel cleansing and good.  I have much less anxiety about having a cancer re-occurrence.""","i have much less anxiety about having a cancer re-occurrence.""","Symptoms are possibly bad: symptoms mentioned but no verb found",anxiety,tamoxifen
